06:08:2023 22:44:00,0.712,0.1766,0.1766,0.1766,0.1766,283.0,0,-0.1976602600000096,49.830556359999996,[1.02798754e-05],[0.00290063],,-0.028216620000004723,0.0,-0.02823260983569878,8.617105960845947,26.0
06:08:2023 22:44:38,0.712,0.1766,0.1766,0.1765,0.1765,452.0,0,-0.1976602600000096,49.802339739999994,[1.02798754e-05],[0.00290063],,0.0,0.028200645379393163,0.0,30.792040824890137,43.0
06:08:2023 22:45:38,0.712,0.1766,0.1766,0.1765,0.1765,5321.0,0,-0.1694436400000049,49.802339739999994,[1.14774116e-05],[0.00323854],,0.028216620000004723,0.05636937152235588,0.0,30.750903606414795,65.0
06:08:2023 23:08:44,0.756,0.1766,0.1766,0.1766,0.1766,1326.0,0,-0.1694436400000049,49.830556359999996,[1.2044714e-05],[0.00339861],,0.0,0.0,0.0,24.8311185836792,60.0
06:08:2023 23:15:06,0.756,0.1765,0.1765,0.1765,0.1765,1439.0,0,-0.19767625000000177,49.830556359999996,[1.25185725e-05],[0.00353432],,-0.02823260999999689,0.0,-0.02824861471655017,3.575059413909912,59.0
06:08:2023 23:17:14,0.724,0.1764,0.1764,0.1763,0.1764,4108.0,0,-0.19767625000000177,49.80232375,[2.09878636e-05],[0.00592542],,0.0,0.02821661402265978,0.0,54.64829206466675,13.0
06:08:2023 23:17:36,0.724,0.1764,0.1765,0.1763,0.1764,20863.0,0,-0.19767625000000177,49.80232375,[1.61978201e-05],[0.00457307],,0.0,0.0,0.0,33.422895431518555,60.0
06:08:2023 23:19:39,0.724,0.1764,0.1764,0.1764,0.1764,3376.0,0,-0.19767625000000177,49.80232375,[4.52101475e-06],[0.0012764],,0.0,0.02821661402265978,0.0,30.0623562335968,17.0
06:08:2023 23:20:06,0.724,0.1764,0.1764,0.1764,0.1764,223.0,0,-0.19767625000000177,49.80232375,[9.00821114e-06],[0.00254325],,0.0,0.0,0.0,3.493852376937866,60.0
06:08:2023 23:21:33,0.724,0.1764,0.1764,0.1764,0.1764,1151.0,0,-0.19767625000000177,49.80232375,[1.12592267e-05],[0.00317877],,0.0,0.0,0.0,35.712323904037476,60.0
06:08:2023 23:29:08,0.724,0.1764,0.1764,0.1764,0.1764,6568.0,0,-0.19767625000000177,49.80232375,[2.09878636e-05],[0.00592542],,0.0,0.0,0.0,0.6897060871124268,60.0
06:08:2023 23:30:33,0.724,0.1764,0.1764,0.1764,0.1764,454.0,0,-0.19767625000000177,49.80232375,[2.70432987e-05],[0.00763503],,0.0,0.05640127265005824,0.0,35.67082977294922,64.0
06:08:2023 23:33:00,0.724,0.1765,0.1765,0.1765,0.1765,0.0,0,-0.19767625000000177,49.80232375,[9.00821114e-06],[0.00254181],,0.0,0.0,0.0,9.437376499176025,60.0
06:08:2023 23:34:23,0.724,0.1765,0.1765,0.1765,0.1765,0.0,0,-0.22589285999999867,49.80232375,[9.00821114e-06],[0.00254181],,-0.02821660999999689,0.0,-0.028232609835597798,46.08209586143494,39.0
06:08:2023 23:35:18,0.724,0.1765,0.1765,0.1764,0.1764,7762.0,0,-0.19767625000000177,49.774107140000005,[1.10578467e-05],[0.00312015],,0.02821660999999689,0.05636931725934477,0.0,50.72406196594238,21.0
06:08:2023 23:35:50,0.724,0.1765,0.1766,0.1764,0.1765,9320.0,0,-0.19767625000000177,49.80232375,[9.48787509e-06],[0.00267716],,0.0,0.028200636325033033,0.0,19.483832597732544,21.0
06:08:2023 23:36:22,0.724,0.1766,0.1766,0.1765,0.1765,3145.0,0,-0.19767625000000177,49.80232375,[9.54862803e-06],[0.0026943],,0.0,0.0,0.0,47.29874539375305,60.0
06:08:2023 23:37:48,0.724,0.1765,0.1765,0.1765,0.1765,0.0,0,-0.19767625000000177,49.80232375,[1.06685942e-05],[0.00301032],,0.0,0.028200636325033033,0.0,21.56780767440796,63.0
06:08:2023 23:47:32,0.784,0.1765,0.1765,0.1765,0.1765,19725.0,0,-0.22589285999999867,49.80232375,[8.02502692e-06],[0.00226439],,-0.02821660999999689,0.0,-0.028232609835597798,37.09099078178406,38.0
06:08:2023 23:48:27,0.784,0.1764,0.1764,0.1764,0.1764,3839.0,0,-0.14124303000000016,49.774107140000005,[5.17233873e-06],[0.00145946],,0.0846498299999985,0.11261110212670007,0.0,42.442270040512085,156.0
06:08:2023 23:56:00,0.784,0.1772,0.1772,0.1772,0.1772,0.0,0,-0.14124303000000016,49.85875697,[1.72556297e-05],[0.00485522],,0.0,0.02812112632262174,0.0,8.660394430160522,12.0
06:08:2023 23:56:19,0.784,0.1773,0.1773,0.1772,0.1772,18631.0,0,-0.16938002999999707,49.85875697,[1.92440742e-05],[0.0054147],,-0.0281369999999969,0.0,-0.028152883664593172,49.90632128715515,17.0
06:08:2023 23:56:45,0.784,0.1773,0.1773,0.1771,0.1771,33138.0,0,-0.1975170300000018,49.83061997000001,[1.92440742e-05],[0.0054147],,-0.02813700000000471,0.0,-0.0281528926384228,24.21828293800354,18.0
07:08:2023 00:04:23,0.784,0.1776,0.1776,0.1775,0.1775,45661.0,0,-0.14140155000000018,49.80248297,[5.03894328e-07],[0.00014138],,0.05611548000000161,0.0,0.0,46.10524129867554,60.0
07:08:2023 00:17:28,0.764,0.1776,0.1776,0.1776,0.1776,0.0,0,0.02703968999999687,49.85859845,[5.18417688e-06],[0.00145538],,0.16844123999999705,0.1957432356421701,0.0,41.555943727493286,132.0
07:08:2023 00:21:00,0.764,0.1781,0.1781,0.1781,0.1781,0.0,0,0.02703968999999687,50.02703969,[6.79307684e-06],[0.00190813],,0.0,0.02807353517957042,0.0,9.126258134841919,61.0
